Date,Open,High,Low,Close,Volume,Adj Close
2012-05-14,418.17,421.00,394.56,394.56,1100300,392.62
2012-05-07,434.65,442.82,418.27,422.40,1012800,420.32
2012-04-30,459.40,466.98,433.84,439.69,1576400,437.52
2012-04-23,436.01,462.34,420.75,457.58,1017300,455.33
2012-04-16,440.87,443.29,429.01,440.44,681500,438.27
2012-04-09,432.94,443.80,424.19,440.46,856400,438.29
2012-04-02,421.84,442.20,419.00,439.85,970000,437.68
2012-03-26,427.29,437.56,420.00,420.54,797300,418.18
2012-03-19,419.77,428.10,415.01,424.01,658300,421.63
2012-03-12,418.07,426.13,416.80,420.17,673200,417.81
2012-03-05,414.52,421.07,406.28,419.52,810300,417.17
2012-02-27,412.33,428.57,410.97,412.78,956200,410.47
2012-02-21,395.45,418.76,394.01,415.61,1069000,413.28
2012-02-13,399.52,400.00,389.77,396.00,714400,393.78
2012-02-06,393.00,401.79,387.00,396.14,1027900,393.92
2012-01-30,346.97,391.30,346.25,390.32,1816200,388.13
2012-01-23,339.95,354.94,336.26,348.79,852800,346.83
2012-01-17,341.07,356.00,337.50,340.66,1284100,338.75
2012-01-09,344.87,351.28,337.32,339.08,1237900,337.18
2012-01-03,378.37,378.64,341.78,342.92,1829800,341.00
2011-12-27,378.79,381.32,371.39,372.82,494700,370.57
2011-12-19,362.70,378.15,358.00,378.15,920900,375.87
2011-12-12,373.98,375.31,358.29,362.16,789800,359.98
2011-12-05,382.99,383.35,366.36,377.42,895100,375.15
2011-11-28,355.92,384.99,354.80,378.38,1046500,376.10
2011-11-21,355.01,358.35,345.00,346.20,876800,344.11
2011-11-14,366.27,373.55,356.00,360.42,951800,358.25
2011-11-07,361.97,370.37,355.37,370.15,952800,367.92
2011-10-31,351.15,368.99,333.36,360.09,1592600,357.92
2011-10-24,332.80,355.00,324.58,354.58,1082100,352.44
2011-10-17,340.84,342.16,322.49,333.40,1102800,331.39
2011-10-10,315.53,344.92,315.53,341.58,1132000,339.52
2011-10-03,314.50,324.00,293.01,311.46,1662800,309.58
2011-09-26,339.84,343.96,312.48,317.16,1317000,315.10
2011-09-19,341.55,361.94,323.23,337.03,1774100,334.84
2011-09-12,319.95,352.00,314.70,346.95,2365500,344.69
2011-09-06,313.08,345.13,311.52,322.02,1559800,319.92
2011-08-29,329.47,335.75,320.05,320.68,1118900,318.59
2011-08-22,307.94,329.81,301.40,325.33,1030100,323.21
2011-08-15,331.02,338.50,300.00,300.16,1623800,298.21
2011-08-08,314.87,332.72,291.67,328.07,2475500,325.93
2011-08-01,308.24,340.42,298.49,326.54,2377700,324.41
2011-07-25,310.27,318.71,299.60,303.25,869000,301.28
2011-07-18,306.64,315.71,303.95,314.14,870300,312.09
2011-07-11,313.19,313.35,303.73,307.55,1130800,305.55
2011-07-05,312.42,322.28,312.00,315.29,1335800,313.24
2011-06-27,273.08,315.64,270.40,314.47,2497400,312.27
2011-06-20,265.99,276.30,265.37,274.20,735700,272.29
2011-06-13,267.02,275.68,264.87,266.09,1005000,264.23
2011-06-06,276.76,277.73,258.34,267.03,1382400,265.17
2011-05-31,286.78,288.57,275.51,277.06,846700,275.13
2011-05-23,274.50,286.32,268.00,285.24,1057900,283.25
2011-05-16,278.21,284.77,276.51,277.57,810400,275.63
2011-05-09,274.52,282.75,273.11,280.00,603500,278.04
2011-05-02,276.97,286.80,273.07,274.25,1021600,272.34
2011-04-25,273.28,278.10,270.69,275.89,595800,273.96
2011-04-18,266.49,273.75,263.48,273.28,680700,271.37
2011-04-11,262.88,269.96,260.55,267.58,972000,265.71
2011-04-04,254.91,267.00,254.86,263.06,981700,261.22
2011-03-28,250.76,262.38,247.83,253.55,1123900,251.64
2011-03-21,243.33,253.30,243.33,247.70,838600,245.83
2011-03-14,247.20,249.59,241.40,241.68,851200,239.86
2011-03-07,249.91,252.89,242.02,248.42,805000,246.54
2011-02-28,247.58,251.78,240.36,249.75,1008400,247.86
2011-02-22,245.31,250.53,242.96,246.71,869000,244.85
2011-02-14,252.54,258.83,248.61,250.74,1005500,248.85
2011-02-07,247.27,254.84,247.27,253.49,617000,251.58
2011-01-31,234.00,249.43,230.31,247.24,1053200,245.37
2011-01-24,233.54,243.60,233.46,234.87,847300,233.10
2011-01-18,236.22,238.98,228.03,233.53,1392900,231.77
2011-01-10,231.35,236.91,228.39,236.91,959500,235.12
2011-01-03,226.44,233.48,219.33,231.09,1812500,229.35
2010-12-27,218.30,226.75,217.54,224.11,838300,222.27
2010-12-20,221.30,226.00,215.42,218.30,2423200,216.51
2010-12-13,254.58,260.72,215.00,221.26,3753800,219.45
2010-12-06,247.25,255.66,246.18,254.76,803900,252.67
2010-11-29,234.90,250.00,230.01,249.08,1138600,247.04
2010-11-22,242.52,244.16,233.00,235.15,851500,233.22
2010-11-15,242.82,247.49,232.72,243.88,1076500,241.88
2010-11-08,255.00,255.88,242.61,243.17,718500,241.18
2010-11-01,242.61,256.89,238.23,256.29,1297400,254.19
2010-10-25,244.10,248.50,237.42,240.06,983800,238.09
2010-10-18,234.90,246.25,232.50,242.64,1018200,240.65
2010-10-11,222.31,235.64,220.00,233.70,1216200,231.78
2010-10-04,225.58,227.99,219.00,222.59,990100,220.77
2010-09-27,221.00,226.30,220.35,224.78,1046600,222.79
2010-09-20,214.00,223.18,211.52,221.57,1568800,219.61
2010-09-13,196.67,214.35,191.00,213.67,2938100,211.78
2010-09-07,204.65,205.93,191.20,198.14,1708300,196.38
2010-08-30,207.65,207.65,197.06,206.98,1031700,205.15
2010-08-23,208.33,208.54,201.06,206.62,835000,204.79
2010-08-16,209.19,215.14,204.81,206.37,713100,204.54
2010-08-09,209.60,217.41,207.00,210.64,1451400,208.77
2010-08-02,207.48,208.12,198.00,207.42,2316900,205.58
2010-07-26,213.65,217.05,204.50,210.04,973300,208.18
2010-07-19,197.66,213.27,193.00,212.94,1434300,211.05
2010-07-12,213.03,216.88,197.22,197.22,1384300,195.47
2010-07-06,203.99,215.52,198.06,215.52,1259400,213.61
2010-06-28,218.00,219.08,194.71,202.77,1658300,200.97
2010-06-21,215.73,230.48,211.18,218.39,2410200,216.29
2010-06-14,206.84,217.17,202.88,214.26,1647800,212.20
2010-06-07,197.29,206.30,193.76,204.88,3052400,202.91
2010-06-01,201.00,203.70,196.50,196.67,2396800,194.78
2010-05-25,204.07,212.95,201.15,201.77,2233900,199.83
